GeneID,083T,128T,135T,147T,157T,168T
0610009B22Rik,0,0,6,0,0,6
0610010F05Rik,32,30,16,26,42,14
0610010K14Rik,22,35,16,18,14,16
0610012G03Rik,9,6,13,9,0,8
0610030E20Rik,7,9,6,0,8,10
0610040J01Rik,20,27,12,10,18,17
1110004F10Rik,7,8,6,0,6,11
1110008P14Rik,14,9,9,15,16,7
1110012L19Rik,0,0,6,0,6,6
1110017D15Rik,36,0,46,32,44,24
1110025L11Rik,10,7,7,10,6,0
1110032A03Rik,30,32,0,30,0,0
1110032F04Rik,6,10,5,18,6,8
1110038F14Rik,0,0,0,7,0,0
1110051M20Rik,464,288,336,336,272,192
1110059E24Rik,7,11,8,11,6,7
1110059G10Rik,9,6,7,6,0,6
1110065P20Rik,10,7,8,11,0,0
1190005I06Rik,0,7,11,0,0,0
1190007I07Rik,10,6,8,6,9,0
1300017J02Rik,10,6,15,8,7,0
1500009L16Rik,9,8,0,6,0,6
1600002K03Rik,10,7,0,6,0,9
1600012H06Rik,5,0,7,8,7,0
1600014C10Rik,6,5,5,10,5,5
1600014C23Rik,6,6,0,0,0,6
1700001C02Rik,14,7,0,0,15,12
1700001C19Rik,972,432,468,828,1200,768
1700001F09Rik,55,47,31,41,48,43
1700001J03Rik,26,14,0,8,6,10
1700001K19Rik,7,9,15,16,0,6
1700001L19Rik,0,6,0,7,8,0
1700001O22Rik,6,13,8,6,0,6
1700001P01Rik,23,6,0,0,0,7
1700003E16Rik,17,0,5,6,8,0
1700003F12Rik,11,13,6,0,16,0
1700003H04Rik,8,0,0,0,7,0
1700006A11Rik,5,6,0,6,6,0
1700007K13Rik,10,0,6,6,9,6
1700008O03Rik,8,7,0,6,10,0
1700008P02Rik,9,6,14,0,0,0
1700010B08Rik,7,19,11,0,9,0
1700010D01Rik,7,8,0,6,0,0
1700010I14Rik,10,11,10,13,8,8
1700011L22Rik,0,8,7,0,0,0
1700012A03Rik,6,6,0,13,0,6
1700012B07Rik,8,6,0,7,11,0
1700012B09Rik,10,0,6,0,10,9
1700012P22Rik,8,0,6,6,0,0
1700013F07Rik,10,7,7,6,0,8
1700013G24Rik,5,9,9,0,0,0
1700013H16Rik,17,15,8,16,11,13
1700015F17Rik,6,9,6,8,8,6
1700016C15Rik,0,0,0,0,5,0
1700016D06Rik,9,8,11,12,6,10
1700016H13Rik,8,7,7,6,6,6
1700016K19Rik,0,7,0,0,0,6
1700017B05Rik,8,21,14,10,0,8
1700017N19Rik,10,10,0,8,7,11
1700018B08Rik,0,12,15,22,0,0
1700018F24Rik,0,10,0,0,0,0
1700019A02Rik,0,19,0,14,0,0
1700019D03Rik,6,0,13,8,0,0
1700019N19Rik,0,0,0,0,7,7
1700020A23Rik,14,6,7,9,0,7
1700020D05Rik,0,8,0,0,0,6
1700020L24Rik,0,6,0,7,15,0
1700020N15Rik,0,5,0,0,0,0
1700021F05Rik,0,10,10,12,10,7
1700021F07Rik,9,0,0,0,8,0
1700022I11Rik,14,22,6,7,18,10
1700025G04Rik,6,11,0,7,7,10
1700028K03Rik,0,7,0,10,8,0
1700028P14Rik,23,9,6,22,20,17
1700029F12Rik,22,19,0,32,0,32
1700029H14Rik,0,6,7,0,0,0
1700029I15Rik,0,11,11,14,8,6
1700029J07Rik,7,0,0,0,8,0
1700029P11Rik,12,8,9,6,7,7
1700030J22Rik,32,48,0,0,36,36
1700030K09Rik,8,15,7,10,14,8
1700031F05Rik,9,7,0,0,0,0
1700034E13Rik,7,6,0,0,8,0
1700034J05Rik,8,6,0,0,7,0
1700037C18Rik,14,8,12,13,15,12
1700037H04Rik,0,6,6,9,8,7
1700042G07Rik,0,0,0,0,0,6
1700049E17Rik1,9,12,0,13,0,0
1700049E17Rik2,9,12,0,13,0,0
1700056E22Rik,0,7,6,6,6,7
1700057G04Rik,7,6,8,7,0,0
1700065D16Rik,0,0,6,0,0,7
1700066B19Rik,11,0,0,9,6,5
1700066M21Rik,11,0,7,6,0,6
1700067K01Rik,7,0,7,8,7,15
1700071K01Rik,14,12,8,11,6,6
1700074P13Rik,6,8,18,11,9,13
1700080O16Rik,6,0,0,0,0,0
1700088E04Rik,16,9,0,7,8,10
1700092M07Rik,10,10,8,15,6,11
1700093K21Rik,9,0,8,5,8,6
1700094D03Rik,11,19,10,6,15,9
1700102P08Rik,6,6,0,7,6,9
1700109H08Rik,16,9,6,0,7,6
1700113H08Rik,10,5,7,6,7,7
1700122O11Rik,8,0,7,0,0,5
1700123K08Rik,31,47,7,15,19,9
1700123O20Rik,0,5,0,0,0,6
1700125H20Rik,7,0,7,5,6,0
1700129C05Rik,6,10,0,9,0,0
1810009A15Rik,22,28,12,19,18,11
1810009J06Rik,0,0,6,0,0,0
1810010H24Rik,0,0,0,0,13,0
1810013L24Rik,9,12,6,14,0,7
1810024B03Rik,6,0,7,0,0,6
1810030O07Rik,16,15,27,5,11,6
1810037I17Rik,7,0,0,0,0,9
1810046K07Rik,6,0,0,0,0,0
1810055G02Rik,8,8,9,0,0,5
1810062G17Rik,10,8,12,0,6,6
1810065E05Rik,8,7,10,0,7,8
2010003K11Rik,6,0,0,6,6,0
2010106E10Rik,14,7,0,0,11,0
2010109A12Rik,8,10,10,6,9,9
2010300C02Rik,10,8,0,7,0,6
2200002D01Rik,12,10,11,7,9,6
2210010C04Rik,6,0,0,6,10,6
2210016F16Rik,10,16,13,8,7,6
2210016L21Rik,7,7,9,7,0,8
2210407C18Rik,6,7,8,0,0,8
2210408I21Rik,8,7,6,6,7,0
2300002M23Rik,0,0,17,0,0,0
2300003K06Rik,5,10,6,10,0,6
2300009A05Rik,0,6,0,0,7,0
2310002L09Rik,0,0,8,0,6,5
2310009B15Rik,5,0,0,0,0,0
2310011J03Rik,15,0,7,8,20,6
2310022A10Rik,29,16,14,30,24,18
2310022B05Rik,7,14,7,7,9,0
2310030G06Rik,9,8,12,6,0,0
2310033P09Rik,7,6,12,9,0,0
2310034C09Rik,21,10,6,0,6,10
2310039H08Rik,0,8,0,9,0,0
2310050C09Rik,0,0,0,7,0,0
2310057J18Rik,7,0,0,0,0,0
2310057M21Rik,0,6,6,11,6,0
2310057N15Rik,14,7,6,0,10,8
2310061I04Rik,29,21,14,14,19,14
2310061N02Rik,8,6,0,6,0,6
2310079G19Rik,0,0,0,0,5,0
2410002F23Rik,16,22,6,9,12,6
2410004B18Rik,0,7,0,6,0,6
2410004P03Rik,8,6,12,0,9,0
2410124H12Rik,6,8,14,11,0,20
2410131K14Rik,0,6,0,0,7,6
2410137M14Rik,25,7,0,0,0,0
2410141K09Rik,23,32,18,14,20,30
2510002D24Rik,6,0,0,7,0,8
2510009E07Rik,0,6,0,0,0,6
2510039O18Rik,7,7,6,6,0,0
2610002M06Rik,6,0,7,7,7,8
2610008E11Rik,32,28,26,24,0,36
2610028H24Rik,0,6,9,7,0,6
2610042L04Rik,54,71,34,56,58,64
2610301B20Rik,6,6,7,0,0,0
2610318N02Rik,5,0,0,16,12,0
2610507B11Rik,31,25,10,21,20,10
2610524H06Rik,0,6,0,0,6,6
2610528A11Rik,0,0,0,7,0,6
2610528J11Rik,0,0,0,0,0,7
2700049A03Rik,67,60,16,24,62,20
2700062C07Rik,8,0,0,6,9,0
2700081O15Rik,12,6,7,6,13,10
2700097O09Rik,15,11,15,7,7,19
2810004N23Rik,15,15,17,7,9,8
2810006K23Rik,12,0,0,0,0,12
2810021J22Rik,25,5,6,0,0,0
2810408A11Rik,16,8,17,11,13,7
2810459M11Rik,7,0,0,6,0,0
2900026A02Rik,0,0,0,10,6,0
2900092C05Rik,13,0,8,6,11,9
3110009E18Rik,0,0,6,0,6,0
3110040N11Rik,12,15,7,7,9,11
3110082I17Rik,30,11,16,12,17,9
3110082J24Rik,6,0,0,0,0,0
3300002I08Rik,11,26,15,16,8,9
3425401B19Rik,11,8,7,9,14,11
3830403N18Rik,76,73,11,73,54,35
3830406C13Rik,9,0,6,6,0,0
3830417A13Rik,14,0,0,0,0,0
4430402I18Rik,14,16,15,16,16,8
4833420G17Rik,22,12,14,18,15,13
4833427G06Rik,5,6,0,5,9,8
4833439L19Rik,44,36,44,28,64,32
4921504E06Rik,11,8,12,7,10,15
4921507P07Rik,11,9,10,0,8,0
4921509C19Rik,8,11,14,6,0,13
4921517D22Rik,5,0,6,7,0,0
4921524J17Rik,6,7,0,11,5,0
4921524L21Rik,6,0,0,6,6,5
4921536K21Rik,10,0,6,0,7,6
4921539E11Rik,9,7,7,0,0,5
4930402F06Rik,6,6,7,0,5,8
4930402H24Rik,47,48,24,74,44,44
4930402K13Rik,10,0,0,7,6,0
4930404N11Rik,6,10,9,15,9,8
4930407I10Rik,13,13,9,10,8,5
4930415L06Rik,8,6,10,0,0,0
4930415O20Rik,9,15,8,0,0,6
4930426D05Rik,8,0,0,6,7,8
4930430F08Rik,9,7,11,6,0,6
4930432K21Rik,20,35,16,16,16,12
4930432M17Rik,6,8,7,0,10,0
4930433I11Rik,64,29,13,34,26,22
4930444G20Rik,47,29,11,28,12,20
4930444P10Rik,8,7,6,0,7,6
4930447A16Rik,8,0,0,0,5,0
4930447C04Rik,6,10,8,0,6,0
4930449I24Rik,6,6,0,6,0,0
4930451G09Rik,9,6,5,7,8,6
4930451I11Rik,12,12,10,8,13,6
4930452B06Rik,6,8,6,6,6,7
4930453N24Rik,6,5,7,7,6,7
4930467E23Rik,8,15,7,14,9,9
4930474N05Rik,10,6,8,7,6,0
4930480E11Rik,5,6,0,0,0,7
