"Gene names" "083T" "128T" "135T" "147T" "157T" "168T" "Total"
"1" "Adar" 12 18 21 20 14 16 101
"2" "Apc" 43 40 24 32 34 46 219
"3" "Atm" 44 41 22 48 34 30 219
"4" "Atrx" 36 23 21 24 25 22 151
"5" "Blm" 30 24 17 10 15 20 116
"6" "Braf" 16 11 11 14 16 10 78
"7" "Brca1" 23 17 10 26 9 11 96
"8" "Brca2" 33 46 19 23 19 10 150
"9" "Kras" 12 7 13 7 10 10 59
"10" "Mlh1" 70 60 56 36 68 28 318
"11" "Mre11" 0 0 0 0 0 0 0
"12" "Msh2" 12 6 14 11 9 14 66
"13" "Msh6" 17 8 16 7 11 6 65
"14" "Pola1" 30 23 11 34 13 13 124
"15" "Pten" 12 6 14 6 6 6 50
"16" "Rad51" 6 11 7 13 0 0 37
"17" "Rpa2" 10 11 10 6 15 9 61
"18" "Tp53" 0 0 0 0 0 0 0
"19" "Trip12" 18 32 17 23 21 12 123
"20" "Wrn" 38 44 24 26 28 18 178
"21" "Wwox" 12 6 9 6 10 6 49
